loan_id,month,year,amount_due,amount_collected,collection_efficiency
1001,1,2022,2.2,2.11,0.9579
1002,1,2022,2.5,2.33,0.9325
1003,1,2022,5.35,5.16,0.9639
1004,1,2022,3.23,3.23,0.9989
1005,1,2022,2.9,2.69,0.9286
1006,1,2022,7.93,7.36,0.9286
1007,1,2022,4.55,4.55,1.0
1009,1,2022,3.05,2.95,0.9687
1010,1,2022,4.39,1.84,0.4185
1011,1,2022,5.43,5.21,0.9597
1012,1,2022,6.04,5.55,0.9195
1013,1,2022,3.53,3.25,0.9194
1014,1,2022,2.65,2.51,0.9477
1015,1,2022,3.06,2.64,0.8615
1016,1,2022,8.01,6.96,0.869
1017,1,2022,4.71,4.31,0.9155
1018,1,2022,4.03,3.62,0.8975
1019,1,2022,5.6,5.32,0.9506
1020,1,2022,6.38,5.75,0.9017
1021,1,2022,3.82,3.37,0.8815
1022,1,2022,3.19,3.18,0.9966
1024,1,2022,4.8,4.46,0.929
1025,1,2022,4.03,3.79,0.9407
1026,1,2022,5.6,4.93,0.881
1027,1,2022,6.5,5.96,0.9162
1028,1,2022,4.66,4.39,0.9424
1030,1,2022,2.21,1.97,0.892
1031,1,2022,6.17,5.88,0.953
1032,1,2022,4.29,3.92,0.914
1033,1,2022,7.59,7.03,0.9263
1034,1,2022,5.02,4.59,0.9139
1035,1,2022,2.0,2.0,1.0
1036,1,2022,2.53,2.37,0.9375
1037,1,2022,5.31,4.76,0.8957
1038,1,2022,5.24,5.09,0.9709
1039,1,2022,5.57,4.95,0.8892
1040,1,2022,3.73,1.81,0.4863
1042,1,2022,5.27,4.53,0.8596
1043,1,2022,5.44,4.81,0.8849
1044,1,2022,3.24,1.98,0.6098
1045,1,2022,1.91,1.85,0.9675
1046,1,2022,4.94,4.67,0.9449
1047,1,2022,3.78,3.53,0.9334
1048,1,2022,3.65,3.38,0.926
1049,1,2022,7.06,6.2,0.8789
1050,1,2022,2.52,2.29,0.9092
1051,1,2022,4.11,3.78,0.9196
