loan_id,month,year,product_type,disbursed_amount,outstanding_amount,status,customer_segment,geography,interest_rate,emi_amount,dpd_bucket
1001,1,2022,Personal,96.94,61.64,Active,Corporate,Rural,17.21,2.2,0
1002,1,2022,Personal,92.17,71.6,Active,Retail,Tier1,15.61,2.5,0
1003,1,2022,Personal,215.14,150.03,Active,Retail,Tier2,17.01,5.35,0
1004,1,2022,Personal,106.39,92.26,Active,Retail,Metro,15.61,3.23,0
1005,1,2022,Personal,94.09,80.49,Active,Corporate,Metro,17.74,2.9,30
1006,1,2022,Personal,255.46,232.45,Active,MSME,Tier1,13.89,7.93,0
1007,1,2022,Personal,212.9,133.69,Active,Retail,Tier2,13.73,4.55,0
1008,1,2022,Personal,149.48,0.0,Closed,MSME,Metro,15.77,0.0,0
1009,1,2022,Personal,127.37,84.05,Active,Corporate,Metro,18.18,3.05,0
1010,1,2022,Personal,165.54,126.78,NPA,MSME,Tier2,14.85,4.39,0
1011,1,2022,Personal,226.87,157.38,Active,Retail,Rural,14.65,5.43,0
1012,1,2022,Personal,186.05,169.24,Active,Corporate,Tier1,17.09,6.04,0
1013,1,2022,Personal,126.96,102.15,Active,Corporate,Tier1,14.73,3.53,0
1014,1,2022,Personal,118.05,72.78,Active,Retail,Metro,18.49,2.65,0
1015,1,2022,Personal,106.45,86.07,Active,MSME,Tier1,16.9,3.06,0
1016,1,2022,Personal,265.0,222.23,Active,Corporate,Tier2,17.8,8.01,30
1017,1,2022,Personal,225.42,135.51,Active,Corporate,Rural,15.2,4.71,0
1018,1,2022,Personal,126.67,114.6,Active,MSME,Tier2,16.0,4.03,90
1019,1,2022,Personal,174.41,162.85,Active,Corporate,Rural,14.49,5.6,0
1020,1,2022,Personal,192.26,181.66,Active,MSME,Metro,15.94,6.38,0
1021,1,2022,Personal,122.26,108.27,Active,Corporate,Tier2,16.34,3.82,30
1022,1,2022,Personal,100.28,90.79,Active,MSME,Rural,15.88,3.19,0
1023,1,2022,Personal,256.76,0.0,Closed,MSME,Rural,17.28,0.0,0
1024,1,2022,Personal,202.21,137.23,Active,MSME,Metro,15.69,4.8,0
1025,1,2022,Personal,183.46,113.86,Active,Retail,Rural,16.44,4.03,0
1026,1,2022,Personal,243.21,164.16,Active,Retail,Tier2,13.85,5.6,0
1027,1,2022,Personal,247.66,183.88,Active,Retail,Metro,16.38,6.5,0
1028,1,2022,Personal,159.44,133.24,Active,Corporate,Metro,15.62,4.66,30
1029,1,2022,Personal,153.88,0.0,Closed,Retail,Tier1,15.2,0.0,0
1030,1,2022,Personal,102.58,64.25,Active,Corporate,Metro,14.42,2.21,60
1031,1,2022,Personal,202.66,175.05,Active,Retail,Metro,16.2,6.17,0
1032,1,2022,Personal,170.11,124.63,Active,MSME,Metro,14.57,4.29,0
1033,1,2022,Personal,228.44,216.65,Active,Corporate,Tier2,15.78,7.59,180
1034,1,2022,Personal,170.31,146.04,Active,Retail,Tier2,14.45,5.02,0
1035,1,2022,Personal,86.35,56.57,Active,Corporate,Metro,16.42,2.0,60
1036,1,2022,Personal,111.5,71.58,Active,Corporate,Metro,16.48,2.53,0
1037,1,2022,Personal,191.39,149.85,Active,MSME,Metro,16.6,5.31,0
1038,1,2022,Personal,215.17,151.69,Active,MSME,Rural,14.69,5.24,0
1039,1,2022,Personal,258.09,163.89,Active,Corporate,Metro,13.55,5.57,0
1040,1,2022,Personal,127.02,103.0,NPA,Retail,Tier1,18.17,3.73,60
1041,1,2022,Personal,181.36,0.0,Written-off,Corporate,Metro,15.01,0.0,30
